comment,date,support_number,user
追我吧这节目看了一期半，觉得好没意思，把奥运冠军都虐瘫了，我宁愿看明星在桌子边上做菜聊天,今天 07:48 来自网页    ,0,兰小花小兰花
不应该这个节目永远停播？？？,今天 07:48 来自网页    ,0,呜呼拉呼捏
不用本周停播，以后都别播了，拜托了🙏,今天 07:46 来自网页    ,1,123皮皮青
好难过,今天 07:45 来自网页    ,0,朵朵是个小胖子
简直太渣台,今天 07:45 来自网页    ,0,微笑百事达CQL
王子，晚安,今天 07:44 来自网页    ,0,我是罗恩
只是本周停播吗？这种节目难道不应该直接滚蛋吗？！,今天 07:42 来自网页    ,0,存钱却吃土的大胖
追我吧这个名字是否应改成谁能活到最后,今天 07:42 来自网页    ,0,静静酱酱静静酱
微博铺天盖地报道韩国艺人自杀，我感觉这有点过了，很容易造成国内一些忧郁症患者效仿这些韩国艺人做出错误的行为！韩国为什么自杀率全球名列前茅，他们艺人自杀率就很高，难免有带动作用。就像前几天人大小姑娘刚刚工作就自杀。虽然艺人自杀要报道，但是不要铺天盖地，这种氛围真的很不好。,今天 07:42 来自网页    ,0,大鱼数码
停办，大力支持,今天 07:41 来自网页    ,0,木夕_FF
这他妈何止是艺人 那些跟拍导演能好过吗 气死我了  不把人命当人命,今天 07:41 来自网页    ,0,Lynetttteeeee
有的时候我们说明星挣得多殊不知他们是在拿命领工资 有的人不明真相给予攻击却不知背后我们不知道的是什么 善待生命 善待每一位人 此后再不看浙江卫视伤不起,今天 07:40 来自网页    ,0,b百玫
本周停播，我看要下了吧，这还放什么,今天 07:39 来自网页    ,0,-爱吃鱼的小沐同学
送达医院的时候其实人早就已经走了。,今天 07:38 来自网页    ,0,瓷Ariel
都没人看了 自然他就停播了 反正我是不看了 可能会有挺多抱着好奇去看节目的 节目组又来了把人血馒头,今天 07:37 来自网页    ,0,现女友edelweiss
草菅人命啊 别想着毁证据！！杀人犯节目！,今天 07:36 来自网页    ,0,Tangle崽崽
服气。你们拿一条人命来录节目。你们晚上能睡得好觉吗,今天 07:36 来自网页    ,0,lyceum68223
不能保证安全就别录了,今天 07:36 来自网页    ,0,我好喜欢冬天啊
本周停播什么鬼 该死的 没人想看,今天 07:35 来自网页    ,0,你是诗人啊
最好是一切综艺节目都停掉。把生命当什么了。草菅人命。4分钟的黄金时间，还以为是节目效果。真不知道他们的心真是高(⊙o⊙)哦。让所有工作人员去把他们策划的杀人运动全做一遍。看看他们可能承受。半夜三更还在录。,今天 07:34 来自网页    ,0,伤感仄狠美
倒闭倒闭浙江台快倒闭吧,今天 07:34 来自网页    ,0,123456月
停播一周？应该禁播吧,今天 07:34 来自网页    ,0,徐某蓁
把浙江卫视好好查一查，这些该判刑判刑,今天 07:31 来自网页    ,0,梦已腐朽
。。。,今天 07:31 来自网页    ,0,正姿笔手机眼镜给眼睛双重保护
还我李汶翰!,今天 07:31 来自网页    ,0,芋圆喝醉了
活生生的一个人就这么没了，真的很难接受,今天 07:31 来自网页    ,0,不抠的张小抠
就是错过了黄金救援时间,今天 07:30 来自网页    ,0,KingslyLy
怎么还准备下周再播？？？,今天 07:30 来自网页    ,0,我的孙小美
今天都是悲伤的消息，至今不信那么温柔的人说没就没了,今天 07:29 来自网页    ,0,1997花自飘零小文文
到现在为止浙江卫视和追我吧节目组正式的道歉都没有，说什么第一时间抢救，现场的观众是没看到吗，敢说第一时间抢救，只能说浙江卫视和追我吧死了,今天 07:29 来自网页    ,2,YI_CAIsir
人生无常珍惜生命,今天 07:28 来自网页    ,0,夕阳未婉1991
这辈子都不应该再演  还想出人命吗,今天 07:27 来自网页    ,0,亚love丫丫
只有本周吗  再别播了封了才对,今天 07:25 来自网页    ,0,吃饱就打嗝的楊
回复 ,今天 07:25 来自网页    ,2,不吃柠檬不说柠檬酸
停播！下架！整顿！以此为戒,今天 07:24 来自网页    ,0,叶赫娜拉娜酱
这种节目不永久停播还等什么，非要再出个几条人命才整顿？,今天 07:23 来自网页    ,2,皮皮的三岁
啥意思？只是本周停播？怎么的？还想继续？信不信粉丝直接去电视台抵制啊,今天 07:23 来自网页    ,0,俏俏妞妞小窝
唉…,今天 07:21 来自网页    ,0,MonmariGD
让我想起了  电视剧 没有秘密的你 里面有个故事 艺人过劳死亡 公司谎报实际情况,今天 07:19 来自网页    ,0,小七yjf
本周停播? 还能播得下去?…,今天 07:15 来自网页    ,0,EELLVV
不是应该封吗 为什么只停播一个星期？,今天 07:14 来自网页    ,0,李榮浩的女孩-
可怜了年迈的父母 ,今天 07:14 来自网页    ,0,皮皮的三岁
这样高强度的综艺还是停办吧，为了他人也为自己。,今天 07:14 来自网页    ,0,石头大本营
娜姐在妻子的浪漫旅行不小心摔倒，马上就有医护人员过来看，做户外真人秀，一定要做好充分的准备，医护是必须的。这么好的年纪就这么走了，真的太可惜了！,今天 07:13 来自网页    ,0,chenlin莉儿
本周停播？意思是下周继续？这就是,今天 07:13 来自网页    ,3,皮皮的三岁
累,今天 07:12 来自网页    ,0,名字知不道起什么好
真的对浙江卫视无感了,今天 07:08 来自网页    ,0,婷婷婷纸i
浙江卫视，你个杀人犯,今天 07:07 来自网页    ,4,等待烟雨花落
本周停播？怎么着 下周继续？！停播！停播！永久停播！,今天 07:05 来自网页    ,0,九辫儿手里的团扇
