comment,date,support_number,user
怎么办,今天 17:51 来自网页    ,0,sev_en柒
！！我的押金也没退！,今天 17:49 来自网页    ,0,果体有什麼不对
 你的还有多久？,今天 17:46 来自网页    ,0,阳阳哥的小果篮儿
图片评论 ,今天 17:43 来自网页    ,0,酷爱臭脚丫
ofo说明了要交押金的共享单车是活不久的,今天 17:39 来自网页    ,0,Jerry黎永钧
🐮的很阿  哦F哦,今天 17:37 来自网页    ,0,3年94394394
臭不要脸,今天 17:37 来自网页    ,0,拾壹的拾憶
然后呢，消费者的权益怎么维护？,今天 17:36 来自网页    ,0,封吹鸡蛋壳
其实当下的银行和小黄车不一样吗，如果大家把存的钱都取出来......,今天 17:34 来自网页    ,0,平淡的木讷先生
我的天，我打算315投诉他呢,今天 17:34 来自网页    ,0,疯狂二小妞
自行车还那么多不能好好修理下边使用赚钱边退押金吗……原来还挺喜欢用小黄车的，月卡收费比摩拜低多了个人觉得还好看，设计感觉也比摩拜座椅舒服,今天 17:33 来自网页    ,0,幸福二路
我去年的押金到现在都没退,今天 17:31 来自网页    ,0,薛洋牌尸毒粉
我真的中了他的计！！！！,今天 17:31 来自网页    ,0,earth小叮当
我排五百万,今天 17:30 来自网页    ,0,月隐云中丶
怎么能把我的押金退给我啊,今天 17:29 来自网页    ,0,谁的独家男孩
垃圾,今天 17:27 来自网页    ,0,__________呃
还有享骑，299至今未退。,今天 17:26 来自网页    ,0,溪边的树xly
我的押金啊,今天 17:25 来自网页    ,0,简单生活简单就好了
还好早就退了,今天 17:22 来自网页    ,0,无需多言ypm
真的没人能强制它退钱吗？我都要等忘记了,今天 17:22 来自网页    ,0,唤作小於菟
这样企业就该政府接管资产，直接按照资产拍卖的钱，退用户的押金！,今天 17:20 来自网页    ,0,JohnsonJiang
为什么广州幸福叮咚就没报道，欠消费者的押金可是1500呀,今天 17:19 来自网页    ,0,Kevin_Victor0801
如果我替没被退押金的人说话会不会被喷，不会我就说了，这事还有没有王法了，管不管啊，押金是什么意思ofo给我乱来,今天 17:18 来自网页    ,1,请记住20190419
我钱不要啦，赶紧破产吧，,今天 17:15 来自网页    ,0,武安雅苑·洺水湾社区
转发微博,今天 17:15 来自网页    ,0,wenjuan813
还好我机智，退的早。,今天 17:13 来自网页    ,0,Ron的一些事一些情
每次完一次小黄车就会退押金，下次用再交押金。押金是拿回来了。就充值十几块钱没办法退，也不敢再交押金去用这个十几块钱了…,今天 17:13 来自网页    ,0,LEE-EASE
还我押金，辣鸡软件,今天 17:12 来自网页    ,0,COUSLOU
我！共享汽车！幸福叮咚四月份到现在押金1500还没退还！消费者维权举办电话啥都打了！没用！,今天 17:11 来自网页    ,0,黄花花的微博
还钱！！,今天 17:10 来自网页    ,0,阳光甜橙
这样做没想过后果么，只能被骂的更厉害。,今天 17:09 来自网页    ,0,清风-玉笛
那就不管了吗？为什么不抓起来！,今天 17:09 来自网页    ,0,风流人物M
我的余额能退回来嘛,今天 17:09 来自网页    ,0,妈耶我也
押金就当喂狗了，就没想着能拿回来,今天 17:08 来自网页    ,0,居家限定柠檬茶
我的押金啥时候能退了,今天 17:07 来自网页    ,0,爱恋无声亦无情
酷骑都几年了，也没消息了，我的598啊,今天 17:06 来自网页    ,0,一生何求之梦
大骗子公司,今天 17:06 来自网页    ,0,金钱豹子3
我还有200呢  我不能理解这种明显属于诈骗行为  为什么还没有人管  我是今年五月份在南京玩的时候扫错车了  那会小黄车已经开始欠费了  为什么还能继续让人扫码,今天 17:06 来自网页    ,0,正在改脾气的娃娃
我都排到1600+万了,今天 17:05 来自网页    ,0,堂前花开旧时憬
刚被套路进去了～我的押金呀,今天 17:00 来自网页    ,0,何金Echo
199不要了，破产吧,今天 17:00 来自网页    ,0,飞飞向云海
我不打算拿回来了，就当喂狗了吧，两年几乎三年了，屁都没有见回来,今天 16:58 来自网页    ,0,Hlrrrrrr
赶紧破产吧。不小心点错了打客服问怎么返回去，回答说没办法了，只能通过购物返现提出来。流氓行为谁来管一管。,今天 16:58 来自网页    ,0,yuer姗姗
我都卸载了？押金都忘了！,今天 16:56 来自网页    ,0,这网名真牛皮
厉害，一年拖一年,今天 16:55 来自网页    ,0,没有留下任何文字
小黄车199没退，享骑电动车299也没退,今天 16:54 来自网页    ,0,吾狗子的小跟班
抓起来吧 涉嫌诈骗,今天 16:54 来自网页    ,0,玛尔马
真是垃圾,今天 16:52 来自网页    ,0,左小右Jane
没想到pfo还活着,今天 16:51 来自网页    ,0,吃啥都不瘦的胖子
不解决一下吗,今天 16:51 来自网页    ,0,在在在在水一方z
那不转换的是继续排队呢，还是不退了,今天 16:51 来自网页    ,0,happyeden
突然觉得不会骑车也是有用处的,今天 16:50 来自网页    ,0,本命年诸事顺利的猪猪绯红
这么嚣张？？？,今天 16:50 来自网页    ,0,淡如风耀如星
俺的两百块大洋可咋个办啊,今天 16:48 来自网页    ,0,我skr个坏人
骗子,今天 16:46 来自网页    ,0,秋天美成了童话
他**的，和斐讯是一个套路！,今天 16:46 来自网页    ,0,不结冰D冬天
这就是我从来不骑要押金才能用的车,今天 16:44 来自网页    ,0,YGRDXML
所有需要押金的车我都不骑,今天 16:44 来自网页    ,0,TVB主吃人
新闻都说不公平了，就是没人管，你爱买不买，想退换押金就要按着我的规则来。主持人和记者都说不公平了，还是没人管。这后台太牛,今天 16:43 来自网页    ,0,锡盟特产
中国企业ofo真缺德。。。嗯，坑国人,今天 16:42 来自网页    ,0,Alexey924
不断套路消费者，经营无诚信，这样的企业早晚倒闭,今天 16:40 来自网页    ,0,星雪豆
相关部门就这样看着？,今天 16:39 来自网页    ,0,泡打司令部
冯小刚:还有王法吗？还有天理吗？,今天 16:38 来自网页    ,0,刘宇CrazyH
要不要脸,今天 16:38 来自网页    ,0,鹿鹿鹿酷
我不知道排队后面有多少人，我是排在1千600多万的， 一个人200就是30多亿人民币！,今天 16:37 来自网页    ,0,晓钏4026
我以为小黄车早就破产了,今天 16:37 来自网页    ,0,红萍果吖
我的余额怎么退啊，,今天 16:37 来自网页    ,0,婷婷要减肥再减肥
就是不买东西，我还不信你不退了,今天 16:36 来自网页    ,0,麻黄连轺赤小豆汤
倒闭了还想挣扎一下？是监狱的饭菜太好吃？还是子弹的温度太舒服？,今天 16:36 来自网页    ,1,弹断琴弦诉不尽心伤
第一他们资产冻结，第二车子之前被多些不法之徒破坏无法再次产生效益，虽然很气，没有实行退押金，但是对于合法消费者是受害者，对ofo及其高管来说也是既是失信企业和个人，也是受害者之一，中国人整体素质和国情暂时无法有效实现这样的共享服务，只能认栽啦，当扶贫,今天 16:36 来自网页    ,0,JielyWu
这不算挪用公款么 不算非法集资 不是犯罪了么 咋不抓起来,今天 16:36 来自网页    ,0,散步的小熊猫_22385
没那资本为何要坑人,今天 16:35 来自网页    ,0,开元哥ovo
这个就没有人要管管吗？,今天 16:35 来自网页    ,0,默默守候丨
办公地点不知道，人也找不到，电话也打不通，是失联了，还是跑路了？,今天 16:35 来自网页    ,0,冯家小三哥
我那99元不要了，就当给你们公司买纸钱了,今天 16:35 来自网页    ,0,爱跑步的老男孩
坑货，,今天 16:35 来自网页    ,0,夢想家luojun
小鸣申请破产，你小黄还不申请，还继续骗钱,今天 16:33 来自网页    ,0,水月清
垃圾公司，坑害消费者，商难道没有相关的法律政策吗,今天 16:33 来自网页    ,0,清念201908
当年骑过一次过后直接退押金，现在想想太明智了,今天 16:33 来自网页    ,0,Xinyu0_0
所以“有关部门”能管管吗？,今天 16:32 来自网页    ,0,宋画伯家的蛋泥
我押金啥时候能退,今天 16:31 来自网页    ,0,就取个昵称
幸好我还没用几天就退了，万幸,今天 16:31 来自网页    ,0,hd夏微微微微微微凉
你们也不想想，再多花几千块钱你的99块就回来了，多划算，优惠力度多大，还能带动市场消费。我出两亿买ofo的头，有没有加价，没有当我没说。,今天 16:31 来自网页    ,1,博凡885
戴维潜逃了？,今天 16:31 来自网页    ,0,17岁·那年
