comment,date,support_number,user
两个家庭，一场悲剧,今天 15:34 来自网页    ,0,爱彤忆
🙏🙏🙏,今天 15:34 来自网页    ,0,Nus朱朱
死的好，感觉根本不是校园霸凌，小男孩太无辜了,今天 15:29 来自网页    ,0,bibiulilliant
支持！！！,今天 15:29 来自网页    ,1,恒爱一生21
事情要看到两面，冲动，校园霸凌。这是一出悲剧。大家设想一下，作为一个小孩，在校被欺凌了，应该怎么办，有没有自我保护的机制。同时作为孩子的家长，我们该怎么办，如何教育出一个明事理的孩子，如何保护自己的孩子应对校园侵害。学校，家长，孩子，社会，我们都应该思考我们做的很不够。,今天 15:21 来自网页    ,0,linxc199
我想问这个小男孩到底怎么欺负这个小女孩了？就算欺负了也没有之前那个把纸片塞到别人眼睛里的欺负厉害吧，人家老师已经把他们换了位置了已经跟对方家长沟通了，这位父亲明明知道已经在解决还要拿刀捅别人，就算他再不对他才9岁啊你就杀人别人，你的小孩是宝贝别人的孩子就不是了吗，,今天 15:21 来自网页    ,0,我本是一颗修炼千年的芒果
那个小孩我觉得死得不冤，活该，家长教育成这种样子，长大了也是个祸害。但对于杀人者，你揍他一顿也行，这样的行为太过激了,今天 15:18 来自网页    ,0,羽化loser
13岁的恶魔强奸杀害9岁小女孩屁事没有，哎~,今天 15:15 来自网页    ,0,流氓兔在追兔斯基
应该死刑，否则私刑泛滥,今天 15:13 来自网页    ,0,西夏09
杀人偿命，天经地义,今天 15:13 来自网页    ,0,易_xxxx_易
校园暴力和同学间的矛盾是有完全区别的。大家好好看看报道，被残忍杀害的小男孩并不是校园暴力的施暴者。这里是未成年人受到成年人的加害。杀人犯更谈不上是个好爸爸，他杀人不说，他给自己孩子一个什么样的家，支离破碎吧。他精神偏激又激烈。好在法律是公正的，杀人恶魔必死。,今天 15:13 来自网页    ,0,理想的天真
大连蔡泽明，先奸后杀，免责。未成年为所欲为,今天 15:11 来自网页    ,0,惊奇队长小迷弟
悲剧，来自多方面原因。每个人都结合自己的生活警醒一下吧。这个父亲以爱之名杀人但本质还是性格缺馅，这个男孩的家教或也有问题吧，老师？学校？有没有值得反思的呢？,今天 15:06 来自网页    ,0,心灵小花滴水藏海
没得办法，这也是杀鸡儆猴。孤女寡母留在这世界上日子更艰难了,今天 15:05 来自网页    ,0,公租界巡捕
看成了王建某，吓我一跳！,今天 15:05 来自网页    ,0,暖宝帅
让这女孩以后咋过，为了自己被霸凌，父亲被判死刑。。。。。这个死刑是不是有点重，学校，对方父母对霸凌的事，失不失职，类同张扣扣案让人同情----,今天 15:04 来自网页    ,1,咸咸咸__咸鱼·v
很正确的判决,今天 15:03 来自网页    ,0,还是心如止水吧
为什么死刑：因为在校内杀人，很多学生都看到了，造成了很恶劣的影响，所以无法减刑,今天 15:03 来自网页    ,0,易_xxxx_易
你想保护女儿，可惜在她今后的人生路上却不再陪伴。如果你痛打那个男生一顿，相信大家都会一片叫好，可惜,今天 15:02 来自网页    ,0,身手敏捷似只熊
以为是王自健,今天 14:58 来自网页    ,0,李腾飞350
可怜天下父母心,今天 14:56 来自网页    ,0,马上1211
学校应该对凌霸行为负责,今天 14:56 来自网页    ,0,芒果师
也不知道是最近关注的多了还是别的 感觉几乎周周都能看到这种谁谁谁被杀了 谁谁谁被性侵了 谁谁谁被校园暴力了 谁谁谁出轨了类似的新闻 看到这种新闻 感觉很不好,今天 14:55 来自网页    ,0,凋零零落
家长太冲动了,今天 14:55 来自网页    ,0,Try_everying
小女孩啊哪有岁月静好，只是因为有人替你负重前行。,今天 14:54 来自网页    ,1,膜虫合
英雄走好。,今天 14:53 来自网页    ,1,膜虫合
霸凌的也该判刑啥！一视同仁！不然以后还会有悲剧发生,今天 14:53 来自网页    ,0,吃怕是
罪刑法定,今天 14:51 来自网页    ,0,燃烧的冰粒
建议去看看案情通报，事发前一天男孩家长一直在与女孩母亲与老师沟通并进行道歉，哪来的没有正确面对之词？,今天 14:50 来自网页    ,0,湿法冶铜
不知道杀人对不对，反正校园欺凌是根源。,今天 14:49 来自网页    ,2,山猫佳南
不公平,今天 14:49 来自网页    ,0,禾禾199512
上小学、中学、高中都被怪同学欺负过,今天 14:48 来自网页    ,0,Yooleel
怨谁,今天 14:48 来自网页    ,0,燕赵小放驴
孩子被欺负，可以有很多解决的方法，不至于走这么极端，那些支持杀人者的人，都是什么心态？你们看到事情的来龙去脉了吗？这个社会太可怕了。,今天 14:48 来自网页    ,0,悠然若芷
麻烦关注下广东化州市文楼镇现在的情况！我家里人没犯事就在自家里现在那些特警像发了疯一下 到处抓人见到年轻的都抓将我爸爸伯伯都抓过去了，还想抓我弟过去，他还是个孩子啊！就因为村民人个个反对在镇上建立火葬场 现在特警警察见人就抓请你们关注一下这种事情,今天 14:47 来自网页    ,0,D董i
惩治校园霸凌不能太过激。人家罪不至死。,今天 14:46 来自网页    ,0,靠意念减肥的小胖子
冲动是魔鬼,今天 14:45 来自网页    ,0,幸福人生SHUYAN
就是心疼被杀孩子的父母了，老师也有问题，没有及时发现两个孩子矛盾，因为主观臆断觉得解决不了才酿成了今天的惨剧。,今天 14:45 来自网页    ,0,如果你也听说ycy
活该判死刑,今天 14:45 来自网页    ,0,小淘淘可爱到爆
鼓励校园霸凌。反对打击报复。,今天 14:44 来自网页    ,0,17K笑万夫
是条汉子,今天 14:43 来自网页    ,0,李豪Vaker
冲动是魔鬼,今天 14:41 来自网页    ,0,寂寞夜晚赠你余欢i
这么判的目的在哪？让女孩失去一个父亲吗？,今天 14:39 来自网页    ,0,四十五天_tei
依法处理并无不妥！从这件事情上我们也要反思，如何更好的保护被霸凌的孩子，不仅学校，老师，家长要参与进来，还要有法可依地去处理学校霸凌事件！年龄小不该再成为免责金牌，要制定符合年龄段的处罚措施。霸凌者家长也要负起责任，也要有关于其家长的合适的处罚措施,今天 14:38 来自网页    ,0,屋檐听雨自倾心
同意，但是希望这个血的教训能引起家长和教育界的警惕,今天 14:36 来自网页    ,0,2009myeleven
谁的错！？有些孩子在学校称王称霸，老师们不知道吗！！！家长不管，遇到恨的了就……！ 悲哀呀！！！,今天 14:35 来自网页    ,0,你好胖爷爷
我只心疼那个小女孩。小时候被人欺负，爸爸去维护她，然后把人砍死了，最后被判了死刑。以后她要生活在什么样的环境下，想想都觉得心底发凉。从头至尾无辜被伤害的都是这个女孩子，所有人都在谴责她爸爸不该杀人的时候，有人关注过她今后会有怎么样的心理阴影吗？,今天 14:34 来自网页    ,2,长安一只呱
法院狗,今天 14:31 来自网页    ,1,王立国教骑土团
罪有应得,今天 14:29 来自网页    ,0,water_61977
？？？？？江西上饶？？？？？,今天 14:29 来自网页    ,0,爱柒13
哎！！！,今天 14:28 来自网页    ,0,无影踪wyz
成年人要知道自己的行为要承担什么样的后果,今天 14:26 来自网页    ,0,霍尊粉丝zhz
不知道该说什么……,今天 14:25 来自网页    ,0,丝竹空_ing
有了女儿就做好坐牢的准备！,今天 14:24 来自网页    ,0,上山砍柴下山放羊
现在的老师就跟块石头似的，任何事情发生都一动不动的。,今天 14:22 来自网页    ,0,坐在旧岛看月亮
唉,今天 14:21 来自网页    ,0,明太祖朱茵
一路走好、你是个有血性的好爸爸,今天 14:20 来自网页    ,0,踏空狗45
唉。,今天 14:17 来自网页    ,0,Universalcutie
建议出台一部儿童基本法，纳入九年义务教育必修课，让每个孩子从小就学法，懂法，让法律不再成为某些人的骗财之道,今天 14:15 来自网页    ,0,夏天的风6766014697
支持死刑,今天 14:15 来自网页    ,0,兔悟空步步
教书育人的学校应该好好反省一下了，不仅要教好书，更要育好人。家长们也更要想想该怎么教育好自己的孩子。,今天 14:15 来自网页    ,0,那一年的1212
学校最大责任，老师也有责任,今天 14:14 来自网页    ,0,肥鲤年年有余
是我我也会，就算丢掉性命又如何？自己的女儿受欺负不可能就这样算了。至于那些说风凉话的，等你有了自己的孩子你就明白了,今天 14:14 来自网页    ,2,有一个仙女名冉
校园霸凌是罪魁祸首,今天 14:14 来自网页    ,0,charlotte蝶
